success,country_code,country_name,eu,standard_rate,other_rate_1,other_rate_2,other_rate_3,other_rate_4,other_rate_5,other_rate_6,other_rate_7,other_rate_8,other_rate_9,other_rate_10,other_rate_11,other_rate_12,other_rate_13,other_rate_14,other_rate_15,other_rate_16,other_rate_17,other_rate_18,other_rate_19,other_rate_20,other_rate_21,other_rate_22,other_rate_23,other_rate_24,other_rate_25,other_rate_26,other_rate_27,other_rate_28,other_rate_29,multiple_other_rates
True,BS,Bahamas,False,-0.6900523564552069,-1.2483853606247084,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BH,Bahrain,False,-1.0696191091808434,-1.2483853606247084,-1.3754185253302178,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BD,Bangladesh,False,-0.120702227366752,0.2314280135940759,0.8142734593814432,2.030993946556753,3.0990019346455586,1.2747435536424108,-7.071067811865476,-7.071067811865476,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BB,Barbados,False,0.35375621354029363,2.007204062656617,1.5441707876186639,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BY,Belarus,False,0.8282146544473399,2.599129412344131,1.5441707876186639,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BE,Belgium,True,1.0179980308101577,0.5273906884378325,0.376335062439111,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BJ,Benin,False,0.4486479017217029,-1.2483853606247084,-1.3754185253302178,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BO,Bolivia,False,-0.5002689800923884,-1.2483853606247084,-1.3754185253302178,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BA,Bosnia and Herzegovina,False,0.25886452535888493,-1.2483853606247084,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,BW,Botswana,False,-0.31048560372956996,-1.2483853606247084,-1.3754185253302178,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
